frame,north,south,east,west,phase,time
212,0,1,44,1,EW,52
213,0,0,50,0,EW,51
214,0,0,54,0,EW,51
215,3,0,39,0,EW,50
216,3,3,40,0,EW,50
217,4,6,35,0,EW,49
218,4,6,36,0,EW,49
219,5,3,37,0,EW,48
220,3,0,38,0,EW,48
221,4,0,34,0,EW,47
222,1,0,31,0,EW,47
223,0,0,32,0,EW,46
224,0,0,33,0,EW,46
225,3,0,35,0,EW,45
226,3,0,37,0,EW,43
227,6,0,33,0,EW,44
228,9,0,33,0,EW,44
229,0,0,33,3,EW,43
230,0,0,32,3,EW,43
231,0,0,31,3,EW,42
232,0,0,33,0,EW,42
233,0,1,29,0,EW,41
234,0,2,32,0,EW,41
235,0,3,14,0,EW,40
236,0,4,8,0,EW,40
237,0,5,11,0,EW,39
238,0,5,9,0,EW,39
239,0,5,13,0,EW,38
240,0,5,17,0,EW,38
241,0,5,13,0,EW,37
242,0,5,5,0,EW,35
243,0,5,6,0,EW,36
244,0,5,6,0,EW,36
245,0,5,6,0,EW,35
246,0,5,6,0,EW,35
247,0,5,8,0,EW,34
248,0,5,10,0,EW,34
249,0,5,9,0,EW,33
250,0,5,9,0,EW,33
251,0,8,7,0,EW,32
252,0,8,5,0,EW,32
253,0,11,5,0,EW,31
254,0,14,5,0,NS,1
255,0,11,5,0,EW,30
256,0,9,5,0,EW,30
257,0,6,8,0,EW,29
258,0,0,14,0,EW,29
259,0,0,17,0,EW,28
260,0,0,20,0,EW,28
261,0,0,14,0,EW,27
262,0,0,21,0,EW,27
263,0,0,20,0,EW,26
264,0,0,22,0,EW,26
265,0,0,23,0,EW,25
266,0,0,28,0,EW,25
267,0,3,27,0,EW,22
268,0,6,25,0,EW,24
269,0,0,25,0,EW,23
270,0,3,26,0,EW,23
271,0,6,27,0,EW,22
272,0,9,27,0,EW,20
273,0,6,26,1,EW,21
274,0,3,25,1,EW,21
275,0,9,25,1,EW,20
276,0,9,25,2,EW,18
277,0,6,11,3,EW,17
278,0,3,14,4,EW,19
279,0,3,14,1,EW,18
280,0,6,14,0,EW,16
281,0,9,15,1,EW,17
282,0,9,16,2,EW,17
283,0,15,13,3,EW,16
284,0,15,14,2,EW,16
285,0,12,9,0,EW,15
286,0,15,12,0,EW,15
287,0,15,12,1,EW,14
288,0,15,8,1,EW,12
289,0,0,5,1,EW,13
290,0,3,5,1,EW,13
291,0,3,5,1,EW,12
292,0,3,5,0,EW,10
293,0,3,5,0,EW,9
294,0,6,5,0,EW,11
295,0,9,5,1,EW,8
296,0,13,5,1,EW,10
297,0,17,5,1,EW,9
298,0,21,5,1,EW,9
299,0,20,5,1,EW,8
300,0,18,5,0,EW,8
301,0,18,5,0,EW,7
302,0,18,20,0,EW,7
303,0,15,20,0,EW,6
304,0,18,20,0,EW,6
305,0,18,20,0,EW,5
